,Ticker,Company,Mean,Median
0,ANET,"Arista Networks, Inc.",148.53846153846155,145.0
1,CDNS,"Cadence Design Systems, Inc.",198.33333333333334,200.0
2,FTNT,"Fortinet, Inc.",71.27692307692308,70.0
3,GOOGL,Alphabet Inc.,139.05882352941177,140.0
4,INCY,Incyte Corporation,84.0,78.0
5,MA,Mastercard Incorporated,408.1666666666667,405.0
6,META,"Meta Platforms, Inc.",213.64705882352942,215.0
7,MSFT,Microsoft Corporation,310.125,300.0
8,NVDA,NVIDIA Corporation,202.57894736842104,200.0
9,TJX,"The TJX Companies, Inc.",74.4,77.0
10,TPR,"Tapestry, Inc.",44.857142857142854,45.0
11,V,Visa Inc.,259.94444444444446,260.0
12,ZTS,Zoetis Inc.,,
